"Id";"Designador";"Footprint";"Quantidade";"Designação";"Fornecedor e referência";
1;"R2,R1,R4,R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"10K";;;
2;"Q1,Q4,Q2,Q3";"SOT-23";4;"SI2300";;;
3;"J5";"JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical";1;"M4";;;
4;"J7";"PinHeader_1x04_P2.54mm_Vertical";1;"TXD0/RXD0";;;
5;"J8,J6";"PinHeader_1x04_P2.54mm_Vertical";2;"I2C";;;
6;"J2";"JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical";1;"M2";;;
7;"D4,D3,D2,D1";"D_SOD-110";4;"1N4148";;;
8;"J3";"JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical";1;"M1";;;
9;"U1";"ESP32_30pin vertical WIFI";1;"ESP32 Dev Kit";;;
10;"J4";"JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical";1;"M3";;;
11;"U4";"MPU-9250-6500";1;"MPU9250/6500";;;
12;"J1";"JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical";1;"Conn_01x02_Pin";;;
