Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,Sim.Device,Sim.Pins
"D1, D2, D3, D4",4,1N4148,D_SOD-110,,,,smt,"100V 0.15A standard switching diode, DO-35",D,1=K 2=A
J1,1,Conn_01x02_Pin,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated",,
J2,1,M2,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated",,
J3,1,M1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated",,
J4,1,M3,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated",,
J5,1,M4,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated",,
"J6, J8",2,I2C,PinHeader_1x04_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x04, script generated",,
J7,1,TXD0/RXD0,PinHeader_1x04_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x04, script generated",,
"Q1, Q2, Q3, Q4",4,SI2300,SOT-23,,,,smt,"N-MOSFET transistor, gate/source/drain",,
"R1, R2, R3, R4",4,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,"Resistor, US symbol",,
U1,1,ESP32 Dev Kit,ESP32_30pin vertical WIFI,,,,tht,,,
U4,1,MPU9250/6500,MPU-9250-6500,,,,tht,,,
