Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,Sim.Pins,Sim.Device
"C1, C2",2,C_Small,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,"Unpolarized capacitor, small symbol",,
"D1, D2, D3, D4, D5",5,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,,,smt,Light emitting diode,1=K 2=A,
"D6, D7, D8, D9",4,1N4148,D_SOD-123,,,,smt,"100V 0.15A standard switching diode, DO-35",1=K 2=A,D
J2,1,M2,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated",,
J3,1,M1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated",,
J4,1,M3,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated",,
J5,1,M4,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated",,
"J6, J8",2,I2C,PinHeader_1x04_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x04, script generated",,
J7,1,TXD0/RXD0,PinHeader_1x04_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x04, script generated",,
"Q1, Q2, Q3, Q4, Q5",5,SI2300,SOT-23,,,,smt,"N-MOSFET transistor, gate/source/drain",,
"R1, R2, R3, R4, R5, R6, R7, R8, R9",9,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,"Resistor, US symbol",,
U1,1,AMS1117-3.3,SOT-223-3_TabPin2,,,,smt,"1A Low Dropout regulator, positive, 3.3V fixed output, SOT-223",,
U2,1,MPU9250/6500,MPU-9250-6500,,,,tht,,,
U3,1,ESP32 Dev Kit,ESP32_30pin vertical WIFI,,,,tht,,,
