pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
128.4125,-116.25,180.0,top,C1,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C_Small,smt
124.4375,-116.25,0.0,top,C2,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C_Small,smt
124.375,-112.585,0.0,top,D1,,,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,LED,smt
142.2,-76.785,-90.0,top,D2,,,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,LED,smt
144.45,-76.785,-90.0,top,D3,,,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,LED,smt
146.65,-76.785,-90.0,top,D4,,,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,LED,smt
148.98,-76.785,-90.0,top,D5,,,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,LED,smt
128.3,-84.6,-90.0,top,D6,,,D_SOD-123,1N4148,smt
162.5,-84.8,90.0,top,D7,,,D_SOD-123,1N4148,smt
162.1,-122.1,90.0,top,D8,,,D_SOD-123,1N4148,smt
128.8,-121.95,-90.0,top,D9,,,D_SOD-123,1N4148,smt
164.6,-77.4,-90.0,top,J2,,,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,M2,tht
127.25,-77.25,-90.0,top,J3,,,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,M1,tht
164.28,-127.26,-90.0,top,J4,,,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,M3,tht
127.8,-127.15,-90.0,top,J5,,,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,M4,tht
127.7,-91.46,0.0,top,J6,,,PinHeader_1x04_P2.54mm_Vertical,I2C,tht
163.04,-99.02,180.0,top,J7,,,PinHeader_1x04_P2.54mm_Vertical,TXD0/RXD0,tht
162.95,-111.45,180.0,top,J8,,,PinHeader_1x04_P2.54mm_Vertical,I2C,tht
124.7125,-83.95,180.0,top,Q1,,,SOT-23,SI2300,smt
166.1375,-84.15,0.0,top,Q2,,,SOT-23,SI2300,smt
165.4875,-122.8,0.0,top,Q3,,,SOT-23,SI2300,smt
125.3875,-122.5,180.0,top,Q4,,,SOT-23,SI2300,smt
1.945,-1.9,0.0,top,Q5,,,SOT-23,SI2300,smt
128.275,-112.6,180.0,top,R1,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K,smt
142.25,-80.85,90.0,top,R2,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K,smt
144.45,-80.85,90.0,top,R3,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K,smt
146.7,-80.85,90.0,top,R4,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K,smt
148.98,-80.81,90.0,top,R5,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K,smt
124.75,-87.0,0.0,top,R6,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K,smt
166.05,-87.1,0.0,top,R7,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K,smt
165.4,-119.95,0.0,top,R8,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K,smt
125.45,-119.55,0.0,top,R9,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K,smt
126.75,-105.9,90.0,top,U1,,,SOT-223-3_TabPin2,AMS1117-3.3,smt
132.6,-131.15,90.0,top,U2,,,MPU-9250-6500,MPU9250/6500,tht
146.0,-85.9,180.0,bottom,U3,,,ESP32_30pin vertical WIFI,ESP32 Dev Kit,tht
